,id,age,gender_female,gender_male,race_asian,race_black,race_mexican_american,race_other,race_other_hispanic,race_white
5446,114709.0,34.0,1,0,0,0,1,0,0,0
5447,114710.0,14.0,0,1,0,1,0,0,0,0
5448,114711.0,9.0,1,0,0,1,0,0,0,0
5449,114712.0,39.0,1,0,0,0,0,1,0,0
5450,114713.0,10.0,1,0,0,0,0,0,0,1
5451,114714.0,12.0,1,0,0,0,0,0,0,1
5452,114715.0,2.0,1,0,0,0,0,0,0,1
5453,114716.0,6.0,0,1,1,0,0,0,0,0
5454,114717.0,14.0,0,1,0,0,1,0,0,0
5455,114718.0,18.0,0,1,0,1,0,0,0,0
5456,114719.0,5.397605346934028e-79,1,0,0,1,0,0,0,0
5457,114720.0,6.0,0,1,0,0,1,0,0,0
5458,114721.0,2.0,1,0,0,1,0,0,0,0
5459,114722.0,9.0,0,1,0,1,0,0,0,0
5460,114723.0,43.0,1,0,0,0,0,0,0,1
5461,114724.0,65.0,1,0,0,1,0,0,0,0
5462,114725.0,4.0,1,0,0,0,1,0,0,0
5463,114726.0,80.0,1,0,0,0,0,0,0,1
5464,114727.0,11.0,1,0,0,1,0,0,0,0
5465,114728.0,40.0,1,0,0,1,0,0,0,0
5466,114729.0,66.0,1,0,1,0,0,0,0,0
5467,114730.0,2.0,0,1,0,1,0,0,0,0
5468,114731.0,80.0,1,0,0,0,0,0,0,1
5469,114732.0,17.0,0,1,0,1,0,0,0,0
5470,114733.0,36.0,0,1,0,1,0,0,0,0
5471,114734.0,19.0,1,0,0,0,1,0,0,0
5472,114735.0,65.0,0,1,0,0,0,0,1,0
5473,114736.0,80.0,1,0,0,0,0,0,0,1
5474,114737.0,65.0,0,1,0,0,0,0,1,0
5475,114738.0,63.0,0,1,0,0,1,0,0,0
5476,114739.0,61.0,1,0,0,0,0,0,0,1
5477,114740.0,21.0,0,1,0,0,0,0,0,1
5478,114741.0,27.0,0,1,0,0,1,0,0,0
5479,114742.0,3.0,0,1,0,0,0,0,0,1
5480,114743.0,2.0,1,0,0,1,0,0,0,0
5481,114744.0,75.0,1,0,0,1,0,0,0,0
5482,114745.0,58.0,0,1,0,0,0,0,0,1
5483,114746.0,33.0,0,1,0,0,0,0,0,1
5484,114747.0,34.0,0,1,0,1,0,0,0,0
5485,114748.0,17.0,1,0,0,1,0,0,0,0
5486,114749.0,14.0,1,0,0,1,0,0,0,0
5487,114750.0,13.0,1,0,0,1,0,0,0,0
5488,114751.0,61.0,1,0,0,1,0,0,0,0
5489,114752.0,4.0,1,0,0,0,0,0,1,0
5490,114753.0,21.0,1,0,0,0,0,0,1,0
5491,114754.0,57.0,1,0,0,1,0,0,0,0
5492,114755.0,18.0,0,1,1,0,0,0,0,0
5493,114756.0,38.0,0,1,0,1,0,0,0,0
5494,114757.0,64.0,1,0,0,1,0,0,0,0
5495,114758.0,73.0,1,0,0,0,0,0,0,1
5496,114759.0,25.0,1,0,1,0,0,0,0,0
5497,114760.0,14.0,1,0,0,0,1,0,0,0
5498,114761.0,64.0,1,0,0,1,0,0,0,0
5499,114762.0,21.0,0,1,0,0,0,1,0,0
5500,114763.0,10.0,1,0,0,0,0,0,0,1
5501,114764.0,80.0,1,0,0,0,0,0,0,1
5502,114765.0,50.0,0,1,0,0,0,0,1,0
5503,114766.0,14.0,0,1,0,1,0,0,0,0
5504,114767.0,8.0,1,0,1,0,0,0,0,0
5505,114768.0,13.0,1,0,0,0,1,0,0,0
5506,114769.0,61.0,1,0,0,1,0,0,0,0
5507,114770.0,11.0,0,1,0,1,0,0,0,0
5508,114771.0,8.0,0,1,0,1,0,0,0,0
5509,114772.0,35.0,1,0,1,0,0,0,0,0
5510,114773.0,79.0,0,1,0,1,0,0,0,0
5511,114774.0,22.0,1,0,0,0,1,0,0,0
5512,114775.0,44.0,1,0,0,0,1,0,0,0
5513,114776.0,12.0,1,0,0,0,0,0,0,1
5514,114777.0,46.0,0,1,0,1,0,0,0,0
5515,114778.0,28.0,0,1,1,0,0,0,0,0
5516,114779.0,11.0,0,1,0,1,0,0,0,0
5517,114780.0,3.0,1,0,0,1,0,0,0,0
5518,114781.0,1.0,0,1,0,0,1,0,0,0
5519,114782.0,24.0,0,1,0,0,0,0,0,1
5520,114783.0,6.0,0,1,0,0,1,0,0,0
5521,114784.0,5.397605346934028e-79,0,1,0,1,0,0,0,0
5522,114785.0,28.0,1,0,0,0,0,0,0,1
5523,114786.0,9.0,0,1,0,0,0,1,0,0
5524,114787.0,61.0,1,0,0,1,0,0,0,0
5525,114788.0,60.0,0,1,0,0,0,0,0,1
5526,114789.0,57.0,0,1,0,0,0,0,0,1
5527,114790.0,31.0,1,0,0,0,0,0,0,1
5528,114791.0,59.0,1,0,0,0,0,0,1,0
5529,114792.0,2.0,0,1,0,0,0,0,0,1
5530,114793.0,61.0,1,0,1,0,0,0,0,0
5531,114794.0,4.0,1,0,0,0,0,0,0,1
5532,114795.0,80.0,0,1,0,0,0,0,0,1
5533,114796.0,4.0,1,0,0,0,0,1,0,0
5534,114797.0,78.0,0,1,0,0,0,0,1,0
5535,114798.0,55.0,1,0,1,0,0,0,0,0
5536,114799.0,63.0,0,1,0,0,1,0,0,0
5537,114800.0,4.0,0,1,0,0,0,1,0,0
5538,114801.0,70.0,0,1,0,1,0,0,0,0
5539,114802.0,41.0,1,0,0,0,1,0,0,0
5540,114803.0,35.0,1,0,1,0,0,0,0,0
5541,114804.0,10.0,0,1,1,0,0,0,0,0
5542,114805.0,2.0,0,1,0,0,0,1,0,0
5543,114806.0,32.0,1,0,0,0,0,1,0,0
5544,114807.0,18.0,0,1,0,0,0,1,0,0
5545,114808.0,39.0,1,0,0,0,0,0,0,1
5546,114809.0,33.0,1,0,0,0,0,0,0,1
5547,114810.0,46.0,1,0,0,0,0,0,0,1
5548,114811.0,80.0,1,0,0,0,0,0,1,0
5549,114812.0,10.0,1,0,0,1,0,0,0,0
5550,114813.0,47.0,1,0,0,1,0,0,0,0
5551,114814.0,4.0,1,0,0,0,1,0,0,0
5552,114815.0,5.397605346934028e-79,0,1,0,0,0,0,0,1
5553,114816.0,5.397605346934028e-79,1,0,0,0,0,0,1,0
5554,114817.0,9.0,0,1,0,1,0,0,0,0
5555,114818.0,45.0,0,1,0,0,0,0,0,1
5556,114819.0,21.0,1,0,0,0,0,0,1,0
5557,114820.0,29.0,1,0,0,0,0,0,0,1
5558,114821.0,60.0,1,0,1,0,0,0,0,0
5559,114822.0,63.0,1,0,0,1,0,0,0,0
5560,114823.0,5.397605346934028e-79,1,0,0,1,0,0,0,0
5561,114824.0,3.0,1,0,0,0,0,0,0,1
5562,114825.0,47.0,0,1,0,1,0,0,0,0
5563,114826.0,76.0,1,0,0,0,0,0,0,1
5564,114827.0,43.0,0,1,0,0,0,0,0,1
5565,114828.0,80.0,1,0,0,0,0,0,0,1
5566,114829.0,5.397605346934028e-79,1,0,0,0,0,1,0,0
5567,114830.0,15.0,0,1,1,0,0,0,0,0
5568,114831.0,50.0,0,1,0,1,0,0,0,0
5569,114832.0,12.0,0,1,0,0,1,0,0,0
5570,114833.0,1.0,1,0,0,0,0,0,0,1
5571,114834.0,21.0,0,1,0,1,0,0,0,0
5572,114835.0,56.0,1,0,0,0,0,0,0,1
5573,114836.0,5.397605346934028e-79,1,0,0,0,1,0,0,0
5574,114837.0,5.397605346934028e-79,0,1,0,0,1,0,0,0
